date,type,avg,_col3
2017-09-23T00:00:00,control,21.295877172272,1.276937696754882
2017-09-22T00:00:00,as-enabled,22.06029488597242,1.2232294690687215
2017-09-26T00:00:00,control,22.496207241882633,0.9855489672962359
2017-09-27T00:00:00,control,24.834591319990892,1.7279459514574365
2017-09-26T00:00:00,as-enabled,22.599551494831474,1.121167967465473
2017-09-22T00:00:00,control,22.449660661682717,1.1531048545442273
2017-09-21T00:00:00,control,22.252411703372676,1.0862619192626803
2017-09-24T00:00:00,control,21.275698687424654,1.241116975000003
2017-09-28T00:00:00,as-enabled,24.92016622786637,1.510586435960275
2017-09-27T00:00:00,as-enabled,23.96046274194032,1.1333083591493567
2017-09-20T00:00:00,control,21.854881740586496,1.176834059891656
2017-09-20T00:00:00,as-enabled,21.69938530263082,1.215681458711079
2017-09-23T00:00:00,as-enabled,21.114291075840985,1.3590881437235083
2017-09-25T00:00:00,as-enabled,22.024051141563294,1.19396925905114
2017-09-28T00:00:00,control,24.64643172536123,1.544704424739617
2017-09-25T00:00:00,control,22.87938623776355,1.180368011551077
2017-09-21T00:00:00,as-enabled,22.114640654463265,1.2518212323708846
2017-09-24T00:00:00,as-enabled,21.13984954479371,1.3335634340311322
