date,type,_col2,err
2017-09-27T00:00:00,control,3.8555211244386145,0.675248261901053
2017-09-25T00:00:00,as-enabled,4.655878292241423,1.2678384099608477
2017-09-20T00:00:00,control,4.404408407201312,1.0278226608383274
2017-09-27T00:00:00,as-enabled,4.134901088756589,0.736532121887521
2017-09-23T00:00:00,as-enabled,4.416787387936778,0.9808951554853844
2017-09-26T00:00:00,control,4.114871359455075,0.7513340619495902
2017-09-21T00:00:00,as-enabled,4.959109581526912,1.0807097552703555
2017-09-24T00:00:00,as-enabled,4.931077043845375,1.2795127086990012
2017-09-28T00:00:00,control,2.3163029669606288,0.49878539944000355
2017-09-26T00:00:00,as-enabled,4.469911917137299,1.0516674684580172
2017-09-20T00:00:00,as-enabled,4.33307894340636,0.9046706427722905
2017-09-23T00:00:00,control,3.9789135729896272,0.9197621847560714
2017-09-25T00:00:00,control,4.043723531616257,0.7414630382514227
2017-09-21T00:00:00,control,4.137903375997697,0.8287753500860475
2017-09-24T00:00:00,control,4.334673623617195,1.035722787945219
2017-09-28T00:00:00,as-enabled,2.723601471203948,0.7354251328953711
2017-09-22T00:00:00,control,4.337126907059919,0.9100248889423286
2017-09-22T00:00:00,as-enabled,4.676562934892048,0.9553977474777727
