date,type,avg,_col3
2017-09-22T00:00:00,as-enabled,214.2787215113266,109.30144428424464
2017-09-25T00:00:00,control,199.17904548688807,42.60014539102199
2017-09-24T00:00:00,control,193.54530277006234,42.142910738175324
2017-09-28T00:00:00,as-enabled,201.76085808855686,69.1479915389097
2017-09-23T00:00:00,as-enabled,196.94842547468485,50.37537381496524
2017-09-27T00:00:00,as-enabled,207.72339192909968,24.865824740302415
2017-09-28T00:00:00,control,198.84082925551925,37.58377827537686
2017-09-20T00:00:00,as-enabled,218.8113058773863,52.65392289163458
2017-09-23T00:00:00,control,185.91488852960387,43.10521498589301
2017-09-21T00:00:00,as-enabled,202.02929319381053,40.60910257947915
2017-09-24T00:00:00,as-enabled,182.07632631416564,48.72050098649522
2017-09-22T00:00:00,control,170.51348998157033,39.768158993567795
2017-09-27T00:00:00,control,207.03268674456476,23.811725048799282
2017-09-26T00:00:00,control,208.57472017559917,35.08408430321579
2017-09-21T00:00:00,control,192.56576984869787,40.835012681708385
2017-09-20T00:00:00,control,196.06883867575172,49.5609438835741
2017-09-26T00:00:00,as-enabled,212.57895979345852,33.49812565637428
2017-09-25T00:00:00,as-enabled,204.42365345213645,40.78193928736995
