date,type,_col2,err
2017-09-21T00:00:00,as-enabled,0.008727918972866303,0.004654447218963183
2017-09-21T00:00:00,control,0.004399799042840611,0.0032803144355020276
2017-09-20T00:00:00,control,0.006165668947973869,0.004631832033572647
2017-09-27T00:00:00,control,0.00859379726390973,0.004858256004865528
2017-09-28T00:00:00,as-enabled,0.017187238288518408,0.02008843715734181
2017-09-22T00:00:00,control,0.005102624591838761,0.004603840125703858
2017-09-22T00:00:00,as-enabled,0.006270206764424443,0.0037720583022355252
2017-09-28T00:00:00,control,0.007896224042031134,0.006553977476993485
2017-09-20T00:00:00,as-enabled,0.007458835404312301,0.004550909573342096
2017-09-25T00:00:00,as-enabled,0.005452993454983098,0.004003953466005519
2017-09-23T00:00:00,control,0.0035236849649844643,0.00260339629293002
2017-09-26T00:00:00,as-enabled,0.005820442606460457,0.0033016741766431702
2017-09-27T00:00:00,as-enabled,0.008749204348555528,0.005456577145008213
2017-09-23T00:00:00,as-enabled,0.0071613772921063175,0.005768332986934721
2017-09-24T00:00:00,as-enabled,0.005527679039613925,0.004592810925715508
2017-09-24T00:00:00,control,0.004189173017481112,0.004316878681143083
2017-09-25T00:00:00,control,0.007956581239267178,0.009481263428691574
2017-09-26T00:00:00,control,0.005522276145654285,0.0036825113956732033
